,date,fips,recip_county,recip_state,series_complete_pop_pct
0,2022-03-31T00:00:00.000,08101,Pueblo County,CO,56.5
1,2022-03-31T00:00:00.000,12049,Hardee County,FL,42.6
2,2022-03-31T00:00:00.000,12069,Lake County,FL,65.5
3,2022-03-31T00:00:00.000,12085,Martin County,FL,63.2
4,2022-03-31T00:00:00.000,13121,Fulton County,GA,56
5,2022-03-31T00:00:00.000,13145,Harris County,GA,48
6,2022-03-31T00:00:00.000,13289,Twiggs County,GA,53.7
7,2022-03-31T00:00:00.000,UNK,Unknown County,GA,
8,2022-03-31T00:00:00.000,19011,Benton County,IA,58.2
9,2022-03-31T00:00:00.000,18037,Dubois County,IN,57.1
10,2022-03-31T00:00:00.000,UNK,Unknown County,IN,
11,2022-03-31T00:00:00.000,20045,Douglas County,KS,61.1
12,2022-03-31T00:00:00.000,20183,Smith County,KS,44.7
13,2022-03-31T00:00:00.000,21041,Carroll County,KY,46.5
14,2022-03-31T00:00:00.000,21061,Edmonson County,KY,34.5
15,2022-03-31T00:00:00.000,22045,Iberia Parish,LA,46.8
16,2022-03-31T00:00:00.000,24011,Caroline County,MD,57.1
17,2022-03-31T00:00:00.000,24045,Wicomico County,MD,55.4
18,2022-03-31T00:00:00.000,23025,Somerset County,ME,61.4
19,2022-03-31T00:00:00.000,26065,Ingham County,MI,57
20,2022-03-31T00:00:00.000,27153,Todd County,MN,42.8
21,2022-03-31T00:00:00.000,37059,Davie County,NC,56.4
22,2022-03-31T00:00:00.000,37075,Graham County,NC,49.3
23,2022-03-31T00:00:00.000,38103,Wells County,ND,43.3
24,2022-03-31T00:00:00.000,34033,Salem County,NJ,55.2
25,2022-03-31T00:00:00.000,39089,Licking County,OH,54.6
26,2022-03-31T00:00:00.000,39113,Montgomery County,OH,56.3
27,2022-03-31T00:00:00.000,41009,Columbia County,OR,60.5
28,2022-03-31T00:00:00.000,41013,Crook County,OR,50.8
29,2022-03-31T00:00:00.000,41045,Malheur County,OR,47.9
30,2022-03-31T00:00:00.000,42025,Carbon County,PA,60.2
31,2022-03-31T00:00:00.000,72095,Maunabo Municipio,PR,76.4
32,2022-03-31T00:00:00.000,47051,Franklin County,TN,41
33,2022-03-31T00:00:00.000,47055,Giles County,TN,39.2
34,2022-03-31T00:00:00.000,48161,Freestone County,TX,38.7
35,2022-03-31T00:00:00.000,48313,Madison County,TX,41.5
36,2022-03-31T00:00:00.000,48429,Stephens County,TX,36.8
37,2022-03-31T00:00:00.000,51003,Albemarle County,VA,64.5
38,2022-03-31T00:00:00.000,51043,Clarke County,VA,63.6
39,2022-03-31T00:00:00.000,51069,Frederick County,VA,47.8
40,2022-03-31T00:00:00.000,51199,York County,VA,67.1
41,2022-03-31T00:00:00.000,53065,Stevens County,WA,39.1
42,2022-03-31T00:00:00.000,53075,Whitman County,WA,46.5
43,2022-03-31T00:00:00.000,55089,Ozaukee County,WI,71.4
