date,fips,state_comp,state_short,median_listing_price,median_change_pct,median_days_on_market,average_listing_price,avg_price_change
02-28-2022,2020,Anchorage,AK,392500,1.453125,30,442330,1.7645625
02-28-2022,2050,Bethel,AK,850000,1.556775455,194,645000,0.75018248
02-28-2022,2068,Denali,AK,299000,1.214814815,315,299000,1.214814815
02-28-2022,2090,Fairbanks North Star,AK,254900,1.864044944,31,324065,2.641179775
02-28-2022,2100,Haines,AK,340000,0.581395349,149,525481,1.346641123
02-28-2022,2105,Hoonah Angoon,AK,295000,0.072727273,215,304322,-0.032571654
02-28-2022,2110,Juneau,AK,439950,1.095,34,460283,1.244483672
02-28-2022,2122,Kenai Peninsula,AK,353450,-0.143151515,115,542220,0.369650552
02-28-2022,2130,Ketchikan Gateway,AK,434250,0.702941176,119,410443,0.315509787
02-28-2022,2150,Kodiak Island,AK,490000,0.664119545,211,1355964,3.460950839
02-28-2022,2164,Lake And Peninsula,AK,300000,-0.047619048,169,286667,-0.20729856
02-28-2022,2170,Matanuska-Susitna,AK,414450,0.507639142,81,457627,0.743673081
02-28-2022,2185,North Slope,AK,199500,-0.356451613,272,199500,-0.356451613
02-28-2022,2195,Petersburg,AK,218500,-0.775897436,635,219607,-0.616373482
02-28-2022,2198,Prince Of Wales Hyder,AK,399000,0.605633803,159,517471,0.733129923
02-28-2022,2220,Sitka,AK,550000,1.444987775,112,1198240,2.92324038
02-28-2022,2230,Skagway,AK,450000,0.285714286,7,450000,0.157219895
02-28-2022,2240,Southeast Fairbanks,AK,399000,-0.113333333,101,370195,-0.177344444
02-28-2022,2261,Valdez-Cordova,AK,225000,0.14213198,215,406709,0.894392406
02-28-2022,2275,Wrangell,AK,250000,0.265822785,217,278983,-0.020091112
02-28-2022,2290,Yukon-Koyukuk,AK,185000,-0.228845352,104,279767,0.127747142
02-28-2022,1001,Autauga,AL,182400,1.309737875,55,285797,0.622694109
02-28-2022,1003,Baldwin,AL,475000,0.996637243,50,726546,1.870441265
02-28-2022,1005,Barbour,AL,255750,-0.267716535,101,333915,-0.275339202
02-28-2022,1007,Bibb,AL,164000,-0.158758656,107,212107,-0.192004114
02-28-2022,1009,Blount,AL,229950,0.268689655,48,313893,0.66216388
02-28-2022,1011,Bullock,AL,750000,3.07719489,119,772262,2.313476382
02-28-2022,1013,Butler,AL,139000,-0.33492823,55,146360,-0.474453393
02-28-2022,1015,Calhoun,AL,166950,0.294186047,47,215482,0.302864122
02-28-2022,1017,Chambers,AL,169950,0.192631579,74,412586,1.190644579
02-28-2022,1019,Cherokee,AL,299900,1.308698999,66,359545,0.966714985
02-28-2022,1021,Chilton,AL,315000,0.212004617,72,390257,0.375631404
02-28-2022,1023,Choctaw,AL,154950,-0.279302326,52,210886,-0.226415856
02-28-2022,1025,Clarke,AL,169950,0.700350175,148,211064,0.755662582
02-28-2022,1027,Clay,AL,263250,0.655660377,73,315848,0.742340494
02-28-2022,1029,Cleburne,AL,337000,0.783068783,99,379073,0.488066357
02-28-2022,1031,Coffee,AL,199450,-0.002251126,45,241175,-0.696580261
02-28-2022,1033,Colbert,AL,221950,0.186898396,75,731563,2.445129905
02-28-2022,1035,Conecuh,AL,97000,-0.475392104,54,192772,-0.292756303
02-28-2022,1037,Coosa,AL,379000,3.448356808,55,483604,3.114028073
02-28-2022,1039,Covington,AL,175375,-0.373436942,100,290957,-0.275370151
02-28-2022,1041,Crenshaw,AL,162450,0.259302326,38,203025,0.194250656
02-28-2022,1043,Cullman,AL,320303,1.630825462,48,493528,2.571889701
02-28-2022,1045,Dale,AL,145000,-0.39042334,36,221541,-0.333039303
02-28-2022,1047,Dallas,AL,72500,-0.478417266,92,116174,-0.375317922
